,ConfirmedCovidCases,CountyName,PopulationProportionCovidCases
2020-02-27,0.0,Clare,
2020-03-01,0.0,Clare,
2020-03-02,0.0,Clare,
2020-03-03,0.0,Clare,
2020-03-04,0.0,Clare,
2020-03-05,0.0,Clare,
2020-03-06,0.0,Clare,
2020-03-07,0.0,Clare,
2020-03-08,0.0,Clare,
2020-03-09,0.0,Clare,
2020-03-10,0.0,Clare,
2020-03-11,0.0,Clare,
2020-03-12,0.0,Clare,
2020-03-13,0.0,Clare,
2020-03-14,0.0,Clare,
2020-03-15,0.0,Clare,
2020-03-16,0.0,Clare,
2020-03-17,0.0,Clare,
2020-03-18,0.0,Clare,
2020-03-19,0.0,Clare,
2020-03-20,0.0,Clare,
2020-03-21,9.0,Clare,7.574673657809909
2020-03-22,11.0,Clare,9.257934470656561
2020-03-23,12.0,Clare,10.099564877079901
2020-03-24,25.0,Clare,21.0407601605831
2020-03-25,26.0,Clare,21.882390567006397
2020-03-26,31.0,Clare,26.090542599123
2020-03-27,34.0,Clare,28.615433818393
2020-03-28,34.0,Clare,28.615433818393
2020-03-29,40.0,Clare,33.6652162569329
2020-03-30,45.0,Clare,37.8733682890496
2020-03-31,49.0,Clare,41.2398899147428
2020-04-01,50.0,Clare,42.0815203211662
2020-04-02,54.0,Clare,45.448041946859504
2020-04-03,54.0,Clare,45.448041946859504
2020-04-04,60.0,Clare,50.4978243853994
2020-04-05,65.0,Clare,54.705976417516005
2020-04-06,66.0,Clare,55.5476068239393
2020-04-07,68.0,Clare,57.230867636786
2020-04-08,69.0,Clare,58.07249804320929
2020-04-09,85.0,Clare,71.5385845459825
2020-04-10,88.0,Clare,74.0634757652524
2020-04-11,98.0,Clare,82.47977982948571
2020-04-12,106.0,Clare,89.21282308087228
2020-04-13,113.0,Clare,95.1042359258355
2020-04-14,119.0,Clare,100.154018364375
2020-04-15,136.0,Clare,114.461735273572
2020-04-16,151.0,Clare,127.086191369922
2020-04-17,153.0,Clare,128.769452182768
2020-04-18,160.0,Clare,134.660865027732
2020-04-19,164.0,Clare,138.027386653425
2020-04-20,165.0,Clare,138.869017059848
2020-04-21,187.0,Clare,157.384886001161
2020-04-22,206.0,Clare,173.375863723205
2020-04-23,207.0,Clare,174.217494129628
2020-04-24,209.0,Clare,175.900754942475
2020-04-25,212.0,Clare,178.425646161745
2020-04-26,229.0,Clare,192.733363070941
