,ConfirmedCovidCases,CountyName,PopulationProportionCovidCases,TimeStamp
6,0.0,Dublin,,2020/02/27 00:00:00+00
32,0.0,Dublin,,2020/03/01 00:00:00+00
58,0.0,Dublin,,2020/03/02 00:00:00+00
84,0.0,Dublin,,2020/03/03 00:00:00+00
110,0.0,Dublin,,2020/03/04 00:00:00+00
136,0.0,Dublin,,2020/03/05 00:00:00+00
162,0.0,Dublin,,2020/03/06 00:00:00+00
188,0.0,Dublin,,2020/03/07 00:00:00+00
214,0.0,Dublin,,2020/03/08 00:00:00+00
240,0.0,Dublin,,2020/03/09 00:00:00+00
266,0.0,Dublin,,2020/03/10 00:00:00+00
292,0.0,Dublin,,2020/03/11 00:00:00+00
318,0.0,Dublin,,2020/03/12 00:00:00+00
344,0.0,Dublin,,2020/03/13 00:00:00+00
370,0.0,Dublin,,2020/03/14 00:00:00+00
396,0.0,Dublin,,2020/03/15 00:00:00+00
422,0.0,Dublin,,2020/03/16 00:00:00+00
448,0.0,Dublin,,2020/03/17 00:00:00+00
474,0.0,Dublin,,2020/03/18 00:00:00+00
500,0.0,Dublin,,2020/03/19 00:00:00+00
526,0.0,Dublin,,2020/03/20 00:00:00+00
552,471.0,Dublin,34.957275677826,2020/03/21 00:00:00+00
578,535.0,Dublin,39.707308890948894,2020/03/22 00:00:00+00
604,659.0,Dublin,48.9104982413744,2020/03/23 00:00:00+00
630,774.0,Dublin,57.44571417120461,2020/03/24 00:00:00+00
656,922.0,Dublin,68.4301659765512,2020/03/25 00:00:00+00
682,1070.0,Dublin,79.41461778189779,2020/03/26 00:00:00+00
708,1233.0,Dublin,91.51235862157,2020/03/27 00:00:00+00
734,1393.0,Dublin,103.387441654377,2020/03/28 00:00:00+00
760,1487.0,Dublin,110.36405293615101,2020/03/29 00:00:00+00
786,1645.0,Dublin,122.090697431048,2020/03/30 00:00:00+00
812,1838.0,Dublin,136.41501633937202,2020/03/31 00:00:00+00
838,2077.0,Dublin,154.15342161962798,2020/04/01 00:00:00+00
864,2251.0,Dublin,167.067574417806,2020/04/02 00:00:00+00
890,2490.0,Dublin,184.80597969806098,2020/04/03 00:00:00+00
916,2692.0,Dublin,199.79827202698002,2020/04/04 00:00:00+00
942,3061.0,Dublin,227.185182271392,2020/04/05 00:00:00+00
968,3268.0,Dublin,242.54857094508597,2020/04/06 00:00:00+00
994,3557.0,Dublin,263.997939673094,2020/04/07 00:00:00+00
1020,3873.0,Dublin,287.451228662888,2020/04/08 00:00:00+00
