,ConfirmedCovidCases,CountyName,PopulationProportionCovidCases
2020-02-27,0.0,Leitrim,
2020-03-01,0.0,Leitrim,
2020-03-02,0.0,Leitrim,
2020-03-03,0.0,Leitrim,
2020-03-04,0.0,Leitrim,
2020-03-05,0.0,Leitrim,
2020-03-06,0.0,Leitrim,
2020-03-07,0.0,Leitrim,
2020-03-08,0.0,Leitrim,
2020-03-09,0.0,Leitrim,
2020-03-10,0.0,Leitrim,
2020-03-11,0.0,Leitrim,
2020-03-12,0.0,Leitrim,
2020-03-13,0.0,Leitrim,
2020-03-14,0.0,Leitrim,
2020-03-15,0.0,Leitrim,
2020-03-16,0.0,Leitrim,
2020-03-17,0.0,Leitrim,
2020-03-18,0.0,Leitrim,
2020-03-19,0.0,Leitrim,
2020-03-20,0.0,Leitrim,
2020-03-21,3.0,Leitrim,9.3621270752715
2020-03-22,3.0,Leitrim,9.3621270752715
2020-03-23,3.0,Leitrim,9.3621270752715
2020-03-24,3.0,Leitrim,9.3621270752715
2020-03-25,3.0,Leitrim,9.3621270752715
2020-03-26,3.0,Leitrim,9.3621270752715
2020-03-27,3.0,Leitrim,9.3621270752715
2020-03-28,6.0,Leitrim,18.724254150543
2020-03-29,6.0,Leitrim,18.724254150543
2020-03-30,10.0,Leitrim,31.207090250904997
2020-03-31,12.0,Leitrim,37.448508301086
2020-04-01,12.0,Leitrim,37.448508301086
2020-04-02,13.0,Leitrim,40.5692173261765
2020-04-03,13.0,Leitrim,40.5692173261765
2020-04-04,14.0,Leitrim,43.689926351267005
2020-04-05,18.0,Leitrim,56.172762451629
2020-04-06,20.0,Leitrim,62.414180501809994
2020-04-07,23.0,Leitrim,71.7763075770815
2020-04-08,25.0,Leitrim,78.0177256272625
2020-04-09,31.0,Leitrim,96.7419797778055
2020-04-10,32.0,Leitrim,99.862688802896
2020-04-11,32.0,Leitrim,99.862688802896
2020-04-12,36.0,Leitrim,112.345524903258
2020-04-13,40.0,Leitrim,124.82836100361999
