,ConfirmedCovidCases,CountyName,PopulationProportionCovidCases
2020-02-27,0.0,Limerick,
2020-03-01,0.0,Limerick,
2020-03-02,0.0,Limerick,
2020-03-03,0.0,Limerick,
2020-03-04,0.0,Limerick,
2020-03-05,0.0,Limerick,
2020-03-06,0.0,Limerick,
2020-03-07,0.0,Limerick,
2020-03-08,0.0,Limerick,
2020-03-09,0.0,Limerick,
2020-03-10,0.0,Limerick,
2020-03-11,0.0,Limerick,
2020-03-12,0.0,Limerick,
2020-03-13,0.0,Limerick,
2020-03-14,0.0,Limerick,
2020-03-15,0.0,Limerick,
2020-03-16,0.0,Limerick,
2020-03-17,0.0,Limerick,
2020-03-18,0.0,Limerick,
2020-03-19,0.0,Limerick,
2020-03-20,0.0,Limerick,
2020-03-21,18.0,Limerick,9.235552773487811
2020-03-22,19.0,Limerick,9.74863903868157
2020-03-23,19.0,Limerick,9.74863903868157
2020-03-24,24.0,Limerick,12.3140703646504
2020-03-25,36.0,Limerick,18.4711055469756
2020-03-26,46.0,Limerick,23.6019681989133
2020-03-27,55.0,Limerick,28.2197445856572
2020-03-28,64.0,Limerick,32.8375209724011
2020-03-29,67.0,Limerick,34.3767797679824
2020-03-30,87.0,Limerick,44.6385050718577
2020-03-31,94.0,Limerick,48.2301089282141
2020-04-01,96.0,Limerick,49.2562814586016
2020-04-02,116.0,Limerick,59.518006762477
2020-04-03,128.0,Limerick,65.6750419448022
2020-04-04,140.0,Limerick,71.8320771271274
2020-04-05,143.0,Limerick,73.3713359227087
2020-04-06,160.0,Limerick,82.0938024310027
2020-04-07,173.0,Limerick,88.76392387852171
2020-04-08,186.0,Limerick,95.4340453260407
2020-04-09,222.0,Limerick,113.905150873016
2020-04-10,234.0,Limerick,120.062186055341
2020-04-11,252.0,Limerick,129.297738828829
2020-04-12,265.0,Limerick,135.967860276348
2020-04-13,285.0,Limerick,146.229585580224
2020-04-14,307.0,Limerick,157.517483414486
2020-04-15,343.0,Limerick,175.98858896146197
2020-04-16,382.0,Limerick,195.998953304019
2020-04-17,384.0,Limerick,197.025125834407
2020-04-18,401.0,Limerick,205.74759234270098
2020-04-19,409.0,Limerick,209.85228246425098
2020-04-20,415.0,Limerick,212.93080005541302
2020-04-21,420.0,Limerick,215.496231381382
2020-04-22,439.0,Limerick,225.24487042006402
2020-04-23,441.0,Limerick,226.271042950451
2020-04-24,442.0,Limerick,226.78412921564498
2020-04-25,457.0,Limerick,234.480423193552
2020-04-26,518.0,Limerick,265.778685370371
2020-04-27,532.0,Limerick,272.96189308308396
2020-04-28,535.0,Limerick,274.501151878665
2020-04-29,548.0,Limerick,281.171273326184
2020-04-30,564.0,Limerick,289.380653569285
2020-05-01,580.0,Limerick,297.590033812385
2020-05-02,583.0,Limerick,299.129292607966
2020-05-03,585.0,Limerick,300.155465138354
2020-05-04,591.0,Limerick,303.233982729516
2020-05-05,574.0,Limerick,294.511516221222
2020-05-06,566.0,Limerick,290.406826099672
2020-05-07,570.0,Limerick,292.459171160447
2020-05-08,572.0,Limerick,293.485343690835
2020-05-09,582.0,Limerick,298.616206342772
2020-05-10,588.0,Limerick,301.694723933935
2020-05-11,588.0,Limerick,301.694723933935
2020-05-12,591.0,Limerick,303.233982729516
2020-05-13,595.0,Limerick,305.286327790291
2020-05-14,596.0,Limerick,305.799414055485
2020-05-15,601.0,Limerick,308.364845381454
2020-05-16,602.0,Limerick,308.877931646648
2020-05-17,603.0,Limerick,309.391017911842
2020-05-18,610.0,Limerick,312.982621768198
2020-05-19,612.0,Limerick,314.00879429858503
2020-05-20,615.0,Limerick,315.54805309416696
2020-05-21,615.0,Limerick,315.54805309416696
2020-05-22,616.0,Limerick,316.06113935936
2020-05-23,619.0,Limerick,317.600398154942
2020-05-24,622.0,Limerick,319.139656950523
2020-05-25,624.0,Limerick,320.165829480911
2020-05-26,626.0,Limerick,321.192002011298
2020-05-27,627.0,Limerick,321.705088276492
2020-05-28,628.0,Limerick,322.218174541686
2020-05-29,629.0,Limerick,322.731260806879
2020-05-30,594.0,Limerick,304.773241525098
2020-05-31,581.0,Limerick,298.103120077579
2020-06-01,582.0,Limerick,298.616206342772
2020-06-02,582.0,Limerick,298.616206342772
2020-06-03,582.0,Limerick,298.616206342772
2020-06-04,582.0,Limerick,298.616206342772
2020-06-05,582.0,Limerick,298.616206342772
2020-06-06,583.0,Limerick,299.129292607966
2020-06-07,583.0,Limerick,299.129292607966
2020-06-08,583.0,Limerick,299.129292607966
2020-06-09,583.0,Limerick,299.129292607966
2020-06-10,583.0,Limerick,299.129292607966
2020-06-11,584.0,Limerick,299.64237887316
2020-06-12,584.0,Limerick,299.64237887316
2020-06-13,584.0,Limerick,299.64237887316
2020-06-14,585.0,Limerick,300.155465138354
2020-06-15,584.0,Limerick,299.64237887316
2020-06-16,583.0,Limerick,299.129292607966
2020-06-17,583.0,Limerick,299.129292607966
2020-06-18,583.0,Limerick,299.129292607966
2020-06-19,583.0,Limerick,299.129292607966
2020-06-20,583.0,Limerick,299.129292607966
2020-06-21,583.0,Limerick,299.129292607966
2020-06-22,583.0,Limerick,299.129292607966
2020-06-23,583.0,Limerick,299.129292607966
2020-06-24,583.0,Limerick,299.129292607966
2020-06-25,583.0,Limerick,299.129292607966
2020-06-26,583.0,Limerick,299.129292607966
2020-06-27,583.0,Limerick,299.129292607966
2020-06-28,583.0,Limerick,299.129292607966
2020-06-29,583.0,Limerick,299.129292607966
2020-06-30,583.0,Limerick,299.129292607966
2020-07-01,586.0,Limerick,300.668551403548
2020-07-02,586.0,Limerick,300.668551403548
2020-07-03,587.0,Limerick,301.181637668741
2020-07-04,587.0,Limerick,301.181637668741
2020-07-05,587.0,Limerick,301.181637668741
2020-07-06,587.0,Limerick,301.181637668741
2020-07-07,588.0,Limerick,301.694723933935
2020-07-08,589.0,Limerick,302.20781019912897
2020-07-09,589.0,Limerick,302.20781019912897
2020-07-10,589.0,Limerick,302.20781019912897
2020-07-11,589.0,Limerick,302.20781019912897
2020-07-12,589.0,Limerick,302.20781019912897
2020-07-13,589.0,Limerick,302.20781019912897
2020-07-14,589.0,Limerick,302.20781019912897
2020-07-15,589.0,Limerick,302.20781019912897
2020-07-16,589.0,Limerick,302.20781019912897
2020-07-17,589.0,Limerick,302.20781019912897
2020-07-18,589.0,Limerick,302.20781019912897
2020-07-19,589.0,Limerick,302.20781019912897
2020-07-20,590.0,Limerick,302.720896464323
2020-07-21,591.0,Limerick,303.233982729516
2020-07-22,591.0,Limerick,303.233982729516
2020-07-23,591.0,Limerick,303.233982729516
2020-07-24,591.0,Limerick,303.233982729516
2020-07-25,591.0,Limerick,303.233982729516
2020-07-26,591.0,Limerick,303.233982729516
2020-07-27,591.0,Limerick,303.233982729516
2020-07-28,592.0,Limerick,303.74706899471
2020-07-29,599.0,Limerick,307.338672851066
2020-07-30,600.0,Limerick,307.85175911626
2020-07-31,609.0,Limerick,312.469535503004
2020-08-01,609.0,Limerick,312.469535503004
2020-08-02,610.0,Limerick,312.982621768198
2020-08-03,610.0,Limerick,312.982621768198
2020-08-04,613.0,Limerick,314.521880563779
2020-08-05,616.0,Limerick,316.06113935936
2020-08-06,619.0,Limerick,317.600398154942
2020-08-07,620.0,Limerick,318.113484420136
2020-08-08,620.0,Limerick,318.113484420136
2020-08-09,627.0,Limerick,321.705088276492
2020-08-10,630.0,Limerick,323.24434707207297
2020-08-11,632.0,Limerick,324.27051960246104
2020-08-12,636.0,Limerick,326.32286466323603
2020-08-13,641.0,Limerick,328.888295989205
2020-08-14,649.0,Limerick,332.992986110755
2020-08-15,655.0,Limerick,336.071503701917
2020-08-16,655.0,Limerick,336.071503701917
