,ConfirmedCovidCases,CountyName,PopulationProportionCovidCases,TimeStamp
16,0.0,Mayo,,2020/02/27 00:00:00+00
42,0.0,Mayo,,2020/03/01 00:00:00+00
68,0.0,Mayo,,2020/03/02 00:00:00+00
94,0.0,Mayo,,2020/03/03 00:00:00+00
120,0.0,Mayo,,2020/03/04 00:00:00+00
146,0.0,Mayo,,2020/03/05 00:00:00+00
172,0.0,Mayo,,2020/03/06 00:00:00+00
198,0.0,Mayo,,2020/03/07 00:00:00+00
224,0.0,Mayo,,2020/03/08 00:00:00+00
250,0.0,Mayo,,2020/03/09 00:00:00+00
276,0.0,Mayo,,2020/03/10 00:00:00+00
302,0.0,Mayo,,2020/03/11 00:00:00+00
328,0.0,Mayo,,2020/03/12 00:00:00+00
354,0.0,Mayo,,2020/03/13 00:00:00+00
380,0.0,Mayo,,2020/03/14 00:00:00+00
406,0.0,Mayo,,2020/03/15 00:00:00+00
432,0.0,Mayo,,2020/03/16 00:00:00+00
458,0.0,Mayo,,2020/03/17 00:00:00+00
484,0.0,Mayo,,2020/03/18 00:00:00+00
510,0.0,Mayo,,2020/03/19 00:00:00+00
536,0.0,Mayo,,2020/03/20 00:00:00+00
562,6.0,Mayo,4.59745454266821,2020/03/21 00:00:00+00
588,9.0,Mayo,6.89618181400231,2020/03/22 00:00:00+00
614,9.0,Mayo,6.89618181400231,2020/03/23 00:00:00+00
640,14.0,Mayo,10.7273939328925,2020/03/24 00:00:00+00
666,18.0,Mayo,13.7923636280046,2020/03/25 00:00:00+00
692,21.0,Mayo,16.0910908993387,2020/03/26 00:00:00+00
718,26.0,Mayo,19.9223030182289,2020/03/27 00:00:00+00
744,28.0,Mayo,21.454787865785,2020/03/28 00:00:00+00
770,36.0,Mayo,27.5847272560093,2020/03/29 00:00:00+00
796,48.0,Mayo,36.7796363413457,2020/03/30 00:00:00+00
822,52.0,Mayo,39.8446060364578,2020/03/31 00:00:00+00
848,55.0,Mayo,42.1433333077919,2020/04/01 00:00:00+00
874,63.0,Mayo,48.27327269801621,2020/04/02 00:00:00+00
900,78.0,Mayo,59.7669090546867,2020/04/03 00:00:00+00
926,107.0,Mayo,81.98793934424971,2020/04/04 00:00:00+00
952,126.0,Mayo,96.54654539603241,2020/04/05 00:00:00+00
978,130.0,Mayo,99.61151509114451,2020/04/06 00:00:00+00
1004,134.0,Mayo,102.676484786257,2020/04/07 00:00:00+00
1030,153.0,Mayo,117.235090838039,2020/04/08 00:00:00+00
1056,168.0,Mayo,128.72872719471002,2020/04/09 00:00:00+00
1082,183.0,Mayo,140.22236355138,2020/04/10 00:00:00+00
1108,194.0,Mayo,148.651030212939,2020/04/11 00:00:00+00
1134,198.0,Mayo,151.715999908051,2020/04/12 00:00:00+00
1160,216.0,Mayo,165.508363536056,2020/04/13 00:00:00+00
1186,249.0,Mayo,190.794363520731,2020/04/14 00:00:00+00
1212,259.0,Mayo,198.456787758511,2020/04/15 00:00:00+00
1238,273.0,Mayo,209.184181691404,2020/04/16 00:00:00+00
1264,312.0,Mayo,239.067636218747,2020/04/17 00:00:00+00
1290,332.0,Mayo,254.39248469430802,2020/04/18 00:00:00+00
1316,335.0,Mayo,256.691211965642,2020/04/19 00:00:00+00
1342,339.0,Mayo,259.756181660754,2020/04/20 00:00:00+00
1368,365.0,Mayo,279.678484678983,2020/04/21 00:00:00+00
1394,391.0,Mayo,299.600787697212,2020/04/22 00:00:00+00
1420,395.0,Mayo,302.665757392324,2020/04/23 00:00:00+00
1446,435.0,Mayo,333.315454343445,2020/04/24 00:00:00+00
1472,464.0,Mayo,355.53648463300794,2020/04/25 00:00:00+00
1498,466.0,Mayo,357.06896948056396,2020/04/26 00:00:00+00
1524,478.0,Mayo,366.26387856590105,2020/04/27 00:00:00+00
1550,483.0,Mayo,370.09509068479105,2020/04/28 00:00:00+00
1576,485.0,Mayo,371.627575532347,2020/04/29 00:00:00+00
1602,488.0,Mayo,373.92630280368104,2020/04/30 00:00:00+00
1628,494.0,Mayo,378.52375734634904,2020/05/01 00:00:00+00
1654,501.0,Mayo,383.887454312796,2020/05/02 00:00:00+00
1680,510.0,Mayo,390.783636126798,2020/05/03 00:00:00+00
1706,512.0,Mayo,392.316120974354,2020/05/04 00:00:00+00
1732,514.0,Mayo,393.84860582191004,2020/05/05 00:00:00+00
1758,518.0,Mayo,396.913575517022,2020/05/06 00:00:00+00
1784,522.0,Mayo,399.978545212134,2020/05/07 00:00:00+00
1810,522.0,Mayo,399.978545212134,2020/05/08 00:00:00+00
1836,522.0,Mayo,399.978545212134,2020/05/09 00:00:00+00
1862,537.0,Mayo,411.472181568805,2020/05/10 00:00:00+00
1888,538.0,Mayo,412.238423992583,2020/05/11 00:00:00+00
1914,541.0,Mayo,414.537151263917,2020/05/12 00:00:00+00
1940,542.0,Mayo,415.303393687695,2020/05/13 00:00:00+00
1966,542.0,Mayo,415.303393687695,2020/05/14 00:00:00+00
1992,547.0,Mayo,419.134605806585,2020/05/15 00:00:00+00
2018,552.0,Mayo,422.965817925475,2020/05/16 00:00:00+00
2044,556.0,Mayo,426.030787620587,2020/05/17 00:00:00+00
2070,558.0,Mayo,427.563272468144,2020/05/18 00:00:00+00
2096,560.0,Mayo,429.0957573157,2020/05/19 00:00:00+00
2122,560.0,Mayo,429.0957573157,2020/05/20 00:00:00+00
2148,564.0,Mayo,432.160727010812,2020/05/21 00:00:00+00
2174,568.0,Mayo,435.225696705924,2020/05/22 00:00:00+00
2200,568.0,Mayo,435.225696705924,2020/05/23 00:00:00+00
2226,568.0,Mayo,435.225696705924,2020/05/24 00:00:00+00
2252,568.0,Mayo,435.225696705924,2020/05/25 00:00:00+00
2278,569.0,Mayo,435.991939129702,2020/05/26 00:00:00+00
2304,569.0,Mayo,435.991939129702,2020/05/27 00:00:00+00
2330,571.0,Mayo,437.524423977258,2020/05/28 00:00:00+00
2356,571.0,Mayo,437.524423977258,2020/05/29 00:00:00+00
2382,571.0,Mayo,437.524423977258,2020/05/30 00:00:00+00
2408,570.0,Mayo,436.75818155348,2020/05/31 00:00:00+00
2434,570.0,Mayo,436.75818155348,2020/06/01 00:00:00+00
2460,570.0,Mayo,436.75818155348,2020/06/02 00:00:00+00
2486,570.0,Mayo,436.75818155348,2020/06/03 00:00:00+00
2512,570.0,Mayo,436.75818155348,2020/06/04 00:00:00+00
2538,570.0,Mayo,436.75818155348,2020/06/05 00:00:00+00
2564,570.0,Mayo,436.75818155348,2020/06/06 00:00:00+00
2590,570.0,Mayo,436.75818155348,2020/06/07 00:00:00+00
2616,570.0,Mayo,436.75818155348,2020/06/08 00:00:00+00
2642,570.0,Mayo,436.75818155348,2020/06/09 00:00:00+00
2668,570.0,Mayo,436.75818155348,2020/06/10 00:00:00+00
