,ConfirmedCovidCases,CountyName,PopulationProportionCovidCases
2020-02-27,0.0,Tipperary,
2020-03-01,0.0,Tipperary,
2020-03-02,0.0,Tipperary,
2020-03-03,0.0,Tipperary,
2020-03-04,0.0,Tipperary,
2020-03-05,0.0,Tipperary,
2020-03-06,0.0,Tipperary,
2020-03-07,0.0,Tipperary,
2020-03-08,0.0,Tipperary,
2020-03-09,0.0,Tipperary,
2020-03-10,0.0,Tipperary,
2020-03-11,0.0,Tipperary,
2020-03-12,0.0,Tipperary,
2020-03-13,0.0,Tipperary,
2020-03-14,0.0,Tipperary,
2020-03-15,0.0,Tipperary,
2020-03-16,0.0,Tipperary,
2020-03-17,0.0,Tipperary,
2020-03-18,0.0,Tipperary,
2020-03-19,0.0,Tipperary,
2020-03-20,0.0,Tipperary,
2020-03-21,20.0,Tipperary,12.5350197113185
2020-03-22,20.0,Tipperary,12.5350197113185
2020-03-23,20.0,Tipperary,12.5350197113185
2020-03-24,27.0,Tipperary,16.922276610279997
2020-03-25,34.0,Tipperary,21.309533509241398
2020-03-26,44.0,Tipperary,27.5770433649007
2020-03-27,53.0,Tipperary,33.217802234994004
2020-03-28,62.0,Tipperary,38.8585611050873
2020-03-29,71.0,Tipperary,44.499319975180704
2020-03-30,85.0,Tipperary,53.2738337731036
2020-03-31,91.0,Tipperary,57.0343396864992
2020-04-01,94.0,Tipperary,58.9145926431969
2020-04-02,105.0,Tipperary,65.8088534844221
2020-04-03,118.0,Tipperary,73.9566162967791
2020-04-04,125.0,Tipperary,78.3438731957406
2020-04-05,133.0,Tipperary,83.357881080268
2020-04-06,137.0,Tipperary,85.8648850225317
2020-04-07,140.0,Tipperary,87.74513797922951
2020-04-08,151.0,Tipperary,94.6393988204546
2020-04-09,166.0,Tipperary,104.040663603944
2020-04-10,175.0,Tipperary,109.68142247403699
2020-04-11,200.0,Tipperary,125.350197113185
2020-04-12,219.0,Tipperary,137.258465838938
2020-04-13,237.0,Tipperary,148.539983579124
2020-04-14,251.0,Tipperary,157.31449737704702
2020-04-15,270.0,Tipperary,169.2227661028
2020-04-16,283.0,Tipperary,177.37052891515702
2020-04-17,292.0,Tipperary,183.01128778525
2020-04-18,300.0,Tipperary,188.025295669777
2020-04-19,306.0,Tipperary,191.785801583173
2020-04-20,320.0,Tipperary,200.560315381096
2020-04-21,327.0,Tipperary,204.947572280057
2020-04-22,343.0,Tipperary,214.97558804911202
2020-04-23,345.0,Tipperary,216.229090020244
2020-04-24,346.0,Tipperary,216.85584100581002
2020-04-25,364.0,Tipperary,228.137358745997
2020-04-26,370.0,Tipperary,231.897864659392
2020-04-27,389.0,Tipperary,243.806133385145
2020-04-28,415.0,Tipperary,260.101659009859
2020-04-29,468.0,Tipperary,293.31946124485296
2020-04-30,473.0,Tipperary,296.453216172682
2020-05-01,478.0,Tipperary,299.586971100512
2020-05-02,479.0,Tipperary,300.213722086078
2020-05-03,486.0,Tipperary,304.600978985039
2020-05-04,501.0,Tipperary,314.002243768528
2020-05-05,506.0,Tipperary,317.135998696358
2020-05-06,512.0,Tipperary,320.896504609753
2020-05-07,515.0,Tipperary,322.776757566451
2020-05-08,517.0,Tipperary,324.030259537583
2020-05-09,523.0,Tipperary,327.790765450979
2020-05-10,524.0,Tipperary,328.417516436545
2020-05-11,524.0,Tipperary,328.417516436545
2020-05-12,524.0,Tipperary,328.417516436545
2020-05-13,516.0,Tipperary,323.403508552017
2020-05-14,521.0,Tipperary,326.537263479847
2020-05-15,523.0,Tipperary,327.790765450979
2020-05-16,524.0,Tipperary,328.417516436545
2020-05-17,525.0,Tipperary,329.04426742211103
2020-05-18,528.0,Tipperary,330.924520378808
2020-05-19,529.0,Tipperary,331.55127136437403
2020-05-20,529.0,Tipperary,331.55127136437403
2020-05-21,528.0,Tipperary,330.924520378808
2020-05-22,528.0,Tipperary,330.924520378808
2020-05-23,528.0,Tipperary,330.924520378808
2020-05-24,528.0,Tipperary,330.924520378808
2020-05-25,528.0,Tipperary,330.924520378808
2020-05-26,528.0,Tipperary,330.924520378808
2020-05-27,528.0,Tipperary,330.924520378808
2020-05-28,527.0,Tipperary,330.297769393242
2020-05-29,529.0,Tipperary,331.55127136437403
2020-05-30,530.0,Tipperary,332.17802234994
2020-05-31,538.0,Tipperary,337.192030234468
2020-06-01,539.0,Tipperary,337.818781220033
2020-06-02,540.0,Tipperary,338.44553220559897
2020-06-03,540.0,Tipperary,338.44553220559897
2020-06-04,540.0,Tipperary,338.44553220559897
2020-06-05,540.0,Tipperary,338.44553220559897
2020-06-06,540.0,Tipperary,338.44553220559897
2020-06-07,540.0,Tipperary,338.44553220559897
2020-06-08,540.0,Tipperary,338.44553220559897
2020-06-09,541.0,Tipperary,339.072283191165
2020-06-10,541.0,Tipperary,339.072283191165
2020-06-11,541.0,Tipperary,339.072283191165
2020-06-12,541.0,Tipperary,339.072283191165
2020-06-13,541.0,Tipperary,339.072283191165
2020-06-14,541.0,Tipperary,339.072283191165
2020-06-15,541.0,Tipperary,339.072283191165
2020-06-16,541.0,Tipperary,339.072283191165
2020-06-17,541.0,Tipperary,339.072283191165
2020-06-18,541.0,Tipperary,339.072283191165
2020-06-19,541.0,Tipperary,339.072283191165
2020-06-20,541.0,Tipperary,339.072283191165
2020-06-21,541.0,Tipperary,339.072283191165
2020-06-22,543.0,Tipperary,340.325785162297
2020-06-23,543.0,Tipperary,340.325785162297
2020-06-24,543.0,Tipperary,340.325785162297
2020-06-25,543.0,Tipperary,340.325785162297
2020-06-26,543.0,Tipperary,340.325785162297
2020-06-27,543.0,Tipperary,340.325785162297
2020-06-28,543.0,Tipperary,340.325785162297
2020-06-29,543.0,Tipperary,340.325785162297
2020-06-30,543.0,Tipperary,340.325785162297
2020-07-01,543.0,Tipperary,340.325785162297
2020-07-02,542.0,Tipperary,339.699034176731
2020-07-03,542.0,Tipperary,339.699034176731
2020-07-04,542.0,Tipperary,339.699034176731
2020-07-05,542.0,Tipperary,339.699034176731
2020-07-06,543.0,Tipperary,340.325785162297
2020-07-07,543.0,Tipperary,340.325785162297
2020-07-08,543.0,Tipperary,340.325785162297
2020-07-09,543.0,Tipperary,340.325785162297
2020-07-10,543.0,Tipperary,340.325785162297
2020-07-11,543.0,Tipperary,340.325785162297
2020-07-12,543.0,Tipperary,340.325785162297
2020-07-13,543.0,Tipperary,340.325785162297
2020-07-14,543.0,Tipperary,340.325785162297
2020-07-15,543.0,Tipperary,340.325785162297
2020-07-16,543.0,Tipperary,340.325785162297
2020-07-17,543.0,Tipperary,340.325785162297
