,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,HospitalisedCovidCases,TravelAbroad
2020-02-29,1,1,0,0,,
2020-03-03,1,2,0,0,,
2020-03-04,4,6,0,0,,
2020-03-05,7,13,0,0,,
2020-03-06,5,18,0,0,,
2020-03-07,1,19,0,0,,
2020-03-08,2,21,0,0,,
2020-03-09,3,24,0,0,,
2020-03-10,10,34,0,0,,
2020-03-11,9,43,1,1,,
2020-03-12,27,70,0,1,,
2020-03-13,20,90,0,1,,
2020-03-14,39,129,1,2,,
2020-03-15,40,169,0,2,,
2020-03-16,54,223,0,2,,
2020-03-17,69,292,0,2,,
2020-03-18,74,366,0,2,84.0,52.0
2020-03-19,191,557,1,3,108.0,43.0
2020-03-20,126,683,0,3,140.0,39.0
2020-03-21,102,785,0,3,173.0,35.0
2020-03-22,121,906,1,4,211.0,33.0
2020-03-23,219,1125,2,6,239.0,33.0
2020-03-24,204,1329,1,7,277.0,31.0
2020-03-25,235,1564,2,9,305.0,29.0
2020-03-26,255,1819,10,19,340.0,29.0
2020-03-27,302,2121,3,22,419.0,26.0
2020-03-28,294,2415,14,36,489.0,27.0
2020-03-29,200,2615,10,46,564.0,24.0
2020-03-30,295,2910,8,54,645.0,23.0
2020-03-31,325,3235,17,71,703.0,23.0
2020-04-01,212,3447,14,85,834.0,20.0
2020-04-02,402,3849,13,98,932.0,18.0
2020-04-03,424,4273,22,120,1039.0,16.0
2020-04-04,331,4604,17,137,1118.0,15.0
2020-04-05,390,4994,21,158,1203.0,13.0
2020-04-06,370,5364,16,174,1265.0,12.0
2020-04-07,345,5709,36,210,1345.0,11.0
2020-04-08,365,6074,25,235,1472.0,10.0
2020-04-09,500,6574,28,263,1521.0,9.0
2020-04-10,480,7054,25,287,1631.0,9.0
2020-04-11,553,8928,33,320,1718.0,8.0
2020-04-12,430,9655,14,334,1777.0,7.0
2020-04-13,527,10647,31,365,1849.0,7.0
2020-04-14,548,11479,41,406,1903.0,7.0
2020-04-15,657,12547,38,444,1968.0,6.0
2020-04-16,629,13271,43,486,2026.0,6.0
2020-04-17,597,13980,44,530,2082.0,6.0
2020-04-18,630,14758,41,571,2168.0,5.0
2020-04-19,445,15251,39,610,2233.0,5.0
2020-04-20,401,15652,77,687,2272.0,4.0
2020-04-21,388,16040,44,730,2323.0,5.0
2020-04-22,631,16671,49,769,2387.0,4.0
2020-04-23,936,17607,28,794,2424.0,4.0
2020-04-24,577,18184,37,1014,2486.0,4.0
2020-04-25,377,18561,42,1063,2536.0,4.0
2020-04-26,701,19262,26,1087,2576.0,4.0
2020-04-27,386,19648,18,1102,2624.0,3.0
2020-04-28,229,19877,59,1159,2638.0,3.0
2020-04-29,376,20253,31,1190,2669.0,3.0
2020-04-30,359,20612,43,1232,2706.0,3.0
2020-05-01,221,20833,34,1265,2768.0,3.0
2020-05-02,343,21176,25,1286,2785.0,3.0
2020-05-03,330,21506,19,1303,2825.0,3.0
2020-05-04,266,21772,16,1319,2840.0,3.0
2020-05-05,211,21983,23,1339,2879.0,3.0
2020-05-06,265,22248,37,1375,2878.0,3.0
2020-05-07,137,22385,29,1403,2891.0,3.0
2020-05-08,156,22541,27,1429,2915.0,3.0
2020-05-09,219,22760,18,1446,2954.0,3.0
2020-05-10,236,22996,12,1458,2986.0,3.0
2020-05-11,139,23135,15,1467,2998.0,3.0
2020-05-12,107,23242,24,1488,3031.0,3.0
2020-05-13,159,23401,10,1497,3050.0,3.0
2020-05-14,426,23827,10,1506,3053.0,3.0
2020-05-15,129,23956,16,1518,3062.0,2.0
2020-05-16,92,24048,15,1533,3094.0,3.0
2020-05-17,64,24112,10,1543,3117.0,3.0
2020-05-18,88,24200,4,1547,3127.0,3.0
2020-05-19,51,24251,16,1561,3143.0,3.0
2020-05-20,64,24315,11,1571,3164.0,2.0
2020-05-21,76,24391,12,1583,3183.0,2.0
2020-05-22,115,24506,11,1592,3194.0,2.0
2020-05-23,76,24582,13,1604,3211.0,2.0
2020-05-24,57,24639,4,1608,3222.0,3.0
2020-05-25,59,24698,0,1606,3225.0,3.0
2020-05-26,37,24735,9,1615,3233.0,3.0
2020-05-27,73,24803,17,1631,3251.0,2.0
2020-05-28,46,24841,9,1639,3267.0,2.0
2020-05-29,39,24876,6,1645,3270.0,2.0
2020-05-30,59,24929,9,1651,3279.0,2.0
2020-05-31,66,24990,2,1652,3283.0,2.0
2020-06-01,77,25062,1,1650,3286.0,2.0
2020-06-02,10,25066,8,1658,3292.0,2.0
2020-06-03,47,25111,3,1659,3298.0,2.0
2020-06-04,38,25142,5,1664,3311.0,2.0
2020-06-05,28,25163,7,1670,3312.0,2.0
2020-06-06,24,25183,9,1678,3319.0,2.0
2020-06-07,25,25201,1,1679,3321.0,2.0
2020-06-08,9,25207,4,1683,3322.0,2.0
2020-06-09,9,25215,9,1691,3331.0,2.0
2020-06-10,19,25231,5,1695,3321.0,2.0
2020-06-11,8,25238,8,1703,3307.0,2.0
2020-06-12,13,25250,3,1705,3275.0,2.0
2020-06-13,46,25295,5,1705,3276.0,2.0
2020-06-14,8,25303,1,1706,3279.0,2.0
2020-06-15,18,25321,0,1706,3278.0,2.0
2020-06-16,14,25334,3,1709,3282.0,2.0
2020-06-17,8,25341,3,1710,3278.0,2.0
2020-06-18,16,25355,4,1714,3282.0,2.0
2020-06-19,13,25368,2,1714,3286.0,2.0
2020-06-20,22,25374,2,1715,3280.0,2.0
2020-06-21,6,25379,0,1715,3282.0,2.0
2020-06-22,4,25383,2,1717,3284.0,2.0
2020-06-23,10,25391,3,1720,3285.0,2.0
2020-06-24,5,25396,6,1726,3292.0,2.0
2020-06-25,11,25405,1,1727,3293.0,2.0
2020-06-26,11,25414,3,1730,3293.0,2.0
2020-06-27,23,25437,6,1734,3293.0,2.0
2020-06-28,1,25438,1,1735,3293.0,2.0
2020-06-29,24,25462,0,1735,3293.0,2.0
2020-06-30,11,25473,1,1736,3295.0,2.0
2020-07-01,6,25477,3,1738,3298.0,2.0
2020-07-02,15,25489,5,1738,3298.0,2.0
2020-07-03,9,25498,2,1740,3307.0,2.0
2020-07-04,11,25509,1,1741,3309.0,2.0
2020-07-05,18,25527,0,1741,3308.0,2.0
2020-07-06,4,25531,0,1741,3309.0,2.0
2020-07-07,24,25538,1,1742,3307.0,2.0
2020-07-08,11,25542,0,1738,3313.0,2.0
2020-07-09,23,25565,6,1743,3328.0,2.0
2020-07-10,25,25589,1,1744,3328.0,2.0
2020-07-11,23,25611,2,1746,3330.0,2.0
2020-07-12,17,25628,0,1746,3330.0,2.0
2020-07-13,11,25638,0,1746,3330.0,2.0
2020-07-14,32,25670,0,1746,3332.0,2.0
2020-07-15,14,25683,2,1748,3337.0,2.0
2020-07-16,21,25698,1,1749,3339.0,2.0
2020-07-17,34,25730,3,1752,3339.0,2.0
2020-07-18,21,25750,2,1753,3342.0,2.0
2020-07-19,10,25760,0,1753,3342.0,2.0
2020-07-20,6,25766,0,1753,3343.0,2.0
2020-07-21,36,25802,0,1753,3342.0,2.0
2020-07-22,17,25819,1,1754,3340.0,2.0
2020-07-23,7,25826,9,1763,3341.0,2.0
2020-07-24,20,25845,0,1763,3344.0,2.0
2020-07-25,24,25869,1,1764,3345.0,2.0
2020-07-26,12,25881,0,1764,3345.0,2.0
2020-07-27,11,25892,0,1764,3346.0,2.0
2020-07-28,40,25929,0,1764,3349.0,2.0
2020-07-29,14,25942,0,1764,3349.0,2.0
2020-07-30,85,26027,1,1763,3350.0,2.0
2020-07-31,38,26065,0,1763,3352.0,2.0
2020-08-01,45,26109,0,1763,3353.0,2.0
2020-08-02,53,26162,0,1763,3359.0,2.0
2020-08-03,46,26208,0,1763,3359.0,2.0
2020-08-04,45,26253,0,1763,3358.0,2.0
2020-08-05,50,26303,0,1763,3357.0,2.0
2020-08-06,69,26372,5,1768,3359.0,2.0
2020-08-07,98,26470,4,1772,3362.0,2.0
2020-08-08,174,26644,1,1772,3364.0,2.0
2020-08-09,68,26712,0,1772,3365.0,2.0
2020-08-10,57,26768,0,1772,3364.0,2.0
2020-08-11,35,26801,1,1773,3372.0,2.0
2020-08-12,40,26838,1,1774,3376.0,2.0
2020-08-13,92,26929,0,1774,3378.0,2.0
2020-08-14,67,26995,0,1774,3381.0,2.0
2020-08-15,200,27191,0,1774,3384.0,2.0
2020-08-16,66,27257,0,1774,3385.0,2.0
2020-08-17,56,27313,0,1774,3387.0,2.0
2020-08-18,190,27499,1,1775,3388.0,2.0
2020-08-19,54,27547,2,1775,3389.0,2.0
2020-08-20,136,27676,1,1776,3394.0,2.0
2020-08-21,79,27755,0,1776,3393.0,2.0
2020-08-22,156,27908,2,1777,3394.0,2.0
2020-08-23,61,27969,0,1777,3396.0,2.0
2020-08-24,147,28116,0,1777,3398.0,2.0
2020-08-25,92,28201,0,1777,3397.0,2.0
2020-08-26,164,28363,0,1777,3397.0,2.0
2020-08-27,93,28453,0,1777,3386.0,2.0
2020-08-28,127,28578,0,1777,3384.0,2.0
2020-08-29,142,28720,0,1777,3386.0,2.0
2020-08-30,42,28760,0,1777,3394.0,2.0
2020-08-31,53,28811,0,1777,3400.0,2.0
2020-09-01,217,29025,0,1777,3405.0,2.0
2020-09-02,89,29114,1,1777,3411.0,2.0
2020-09-03,95,29206,0,1777,3415.0,2.0
2020-09-04,98,29303,0,1777,3412.0,2.0
2020-09-05,231,29534,0,1777,3418.0,2.0
2020-09-06,138,29672,0,1777,3424.0,2.0
2020-09-07,102,29774,0,1777,3427.0,2.0
2020-09-08,307,30080,1,1778,3429.0,2.0
2020-09-09,84,30164,3,1781,3434.0,2.0
2020-09-10,196,30360,0,1781,3435.0,2.0
2020-09-11,211,30571,1,1781,3440.0,2.0
2020-09-12,159,30730,2,1783,3445.0,2.0
2020-09-13,255,30985,1,1784,3451.0,2.0
2020-09-14,208,31192,0,1784,3457.0,2.0
2020-09-15,357,31549,3,1787,3462.0,2.0
2020-09-16,254,31799,3,1788,3469.0,2.0
2020-09-17,240,32023,1,1789,3477.0,2.0
2020-09-18,253,32271,3,1792,3490.0,2.0
2020-09-19,274,32538,0,1792,3500.0,2.0
2020-09-20,396,32933,0,1792,3514.0,2.0
2020-09-21,188,33121,0,1792,3524.0,2.0
2020-09-22,334,33444,0,1792,3535.0,2.0
2020-09-23,234,33675,2,1794,3548.0,2.0
2020-09-24,324,33994,3,1797,3552.0,2.0
2020-09-25,326,34315,0,1797,3560.0,2.0
2020-09-26,248,34560,5,1802,3566.0,2.0
2020-09-27,430,34990,0,1802,3575.0,2.0
2020-09-28,390,35377,0,1802,3583.0,2.0
2020-09-29,363,35740,1,1803,3593.0,2.0
2020-09-30,429,36155,1,1804,3600.0,2.0
2020-10-01,442,36597,4,1806,3617.0,2.0
2020-10-02,470,37063,1,1801,3631.0,2.0
2020-10-03,613,37668,10,1810,3643.0,2.0
2020-10-04,364,38032,0,1810,3653.0,2.0
2020-10-05,518,38549,0,1810,3678.0,2.0
2020-10-06,432,38973,1,1811,3676.0,2.0
2020-10-07,611,39584,5,1816,3701.0,2.0
2020-10-08,506,40086,1,1817,3729.0,2.0
2020-10-09,617,40703,5,1821,3755.0,2.0
2020-10-10,1012,41714,3,1824,3769.0,2.0
2020-10-11,814,42528,2,1826,3794.0,2.0
2020-10-12,825,43351,1,1827,3822.0,2.0
2020-10-13,811,44159,3,1830,3848.0,2.0
2020-10-14,1095,45243,5,1835,3877.0,2.0
2020-10-15,1205,46429,3,1838,3916.0,2.0
2020-10-16,1000,47427,3,1841,3936.0,2.0
2020-10-17,1276,48678,8,1849,3956.0,2.0
2020-10-18,1283,49962,3,1852,3980.0,2.0
2020-10-19,1031,50993,0,1852,3997.0,2.0
2020-10-20,1269,52256,13,1865,4021.0,2.0
2020-10-21,1167,53422,3,1868,4055.0,2.0
2020-10-22,1066,54476,3,1871,4118.0,2.0
2020-10-23,777,55261,7,1878,4163.0,2.0
2020-10-24,859,56108,4,1882,4155.0,2.0
2020-10-25,1025,57128,0,1882,4195.0,2.0
2020-10-26,939,58067,3,1885,4210.0,2.0
2020-10-27,720,58767,5,1890,4232.0,2.0
2020-10-28,675,59434,6,1896,4254.0,2.0
2020-10-29,866,60297,6,1902,4302.0,2.0
2020-10-30,772,61059,6,1908,4348.0,2.0
2020-10-31,416,61456,5,1913,4377.0,2.0
2020-11-01,552,62002,2,1915,4397.0,2.0
2020-11-02,767,62750,2,1917,4411.0,1.0
2020-11-03,322,63048,5,1922,4449.0,1.0
2020-11-04,444,63483,8,1930,4490.0,1.0
2020-11-05,591,64046,3,1933,4528.0,1.0
2020-11-06,499,64538,8,1940,4580.0,1.0
2020-11-07,335,64855,5,1945,4605.0,1.0
2020-11-08,542,65394,2,1947,4630.0,1.0
2020-11-09,270,65659,1,1948,4664.0,1.0
2020-11-10,270,65889,16,1963,4676.0,1.0
2020-11-11,362,66247,2,1965,4744.0,1.0
2020-11-12,395,66632,1,1965,4773.0,1.0
2020-11-13,482,67099,7,1972,4808.0,1.0
2020-11-14,456,67526,6,1978,4834.0,1.0
2020-11-15,378,67903,1,1979,4854.0,1.0
2020-11-16,456,68356,5,1984,4871.0,1.0
2020-11-17,366,68686,11,1995,4893.0,1.0
2020-11-18,379,69058,12,2006,4931.0,1.0
2020-11-19,429,69473,4,2010,4954.0,1.0
2020-11-20,330,69802,8,2018,5003.0,1.0
2020-11-21,344,70143,4,2022,5032.0,1.0
2020-11-22,318,70461,1,2023,5043.0,1.0
2020-11-23,252,70711,0,2022,5053.0,1.0
2020-11-24,226,70930,6,2028,5069.0,1.0
2020-11-25,269,71187,6,2033,5117.0,1.0
2020-11-26,335,71494,3,2036,5139.0,1.0
2020-11-27,206,71699,7,2043,5158.0,1.0
2020-11-28,243,71942,7,2050,5170.0,1.0
2020-11-29,299,72241,2,2052,5188.0,1.0
2020-11-30,306,72544,1,2053,5212.0,1.0
2020-12-01,269,72798,18,2069,5225.0,1.0
2020-12-02,270,73066,5,2074,5240.0,1.0
2020-12-03,183,73228,6,2080,5255.0,1.0
2020-12-04,265,73491,6,2086,5278.0,1.0
