Day 2020	Flights 2020	7-day moving average Flights 2020
2020-03-01	747	693
2020-03-02	762	694
2020-03-03	645	696,8571429
2020-03-04	648	698,1428571
2020-03-05	708	697,5714286
2020-03-06	762	693,4285714
2020-03-07	608	697,1428571
2020-03-08	721	693,4285714
2020-03-09	744	690,8571429
2020-03-10	622	687,5714286
2020-03-11	628	684,7142857
2020-03-12	706	684,4285714
2020-03-13	813	691,7142857
2020-03-14	591	689,2857143
2020-03-15	698	686
2020-03-16	716	682
2020-03-17	523	667,8571429
2020-03-18	540	655,2857143
2020-03-19	554	633,5714286
2020-03-20	555	596,7142857
2020-03-21	348	562
2020-03-22	401	519,5714286
2020-03-23	387	472,5714286
2020-03-24	304	441,2857143
2020-03-25	218	395,2857143
2020-03-26	259	353,1428571
2020-03-27	244	308,7142857
2020-03-28	160	281,8571429
2020-03-29	178	250
2020-03-30	151	216,2857143
2020-03-31	107	188,1428571
2020-04-01	90	169,8571429
2020-04-02	96	146,5714286
2020-04-03	120	128,8571429
2020-04-04	93	119,2857143
2020-04-05	95	107,4285714
2020-04-06	107	101,1428571
2020-04-07	76	96,71428571
2020-04-08	65	93,14285714
2020-04-09	89	92,14285714
2020-04-10	89	87,71428571
2020-04-11	72	84,71428571
2020-04-12	59	79,57142857
2020-04-13	78	75,42857143
2020-04-14	65	73,85714286
2020-04-15	69	74,42857143
2020-04-16	90	74,57142857
2020-04-17	83	73,71428571
2020-04-18	64	72,57142857
2020-04-19	71	74,28571429
2020-04-20	100	77,42857143
2020-04-21	79	79,42857143
2020-04-22	81	81,14285714
2020-04-23	75	79
2020-04-24	97	81
2020-04-25	67	81,42857143
2020-04-26	69	81,14285714
2020-04-27	97	80,71428571
2020-04-28	64	78,57142857
2020-04-29	76	77,85714286
2020-04-30	68	76,85714286
2020-05-01	101	77,42857143
2020-05-02	72	78,14285714
2020-05-03	76	79,14285714
2020-05-04	81	76,85714286
2020-05-05	71	77,85714286
2020-05-06	81	78,57142857
2020-05-07	91	81,85714286
2020-05-08	96	81,14285714
2020-05-09	72	81,14285714
2020-05-10	79	81,57142857
2020-05-11	97	83,85714286
2020-05-12	76	84,57142857
2020-05-13	93	86,28571429
2020-05-14	87	85,71428571
2020-05-15	103	86,71428571
2020-05-16	83	88,28571429
2020-05-17	81	88,57142857
2020-05-18	98	88,71428571
2020-05-19	97	91,71428571
2020-05-20	88	91
2020-05-21	76	89,42857143
2020-05-22	115	91,14285714
2020-05-23	85	91,42857143
2020-05-24	95	93,42857143
2020-05-25	95	93
2020-05-26	97	93
2020-05-27	98	94,42857143
2020-05-28	89	96,28571429
2020-05-29	112	95,85714286
2020-05-30	84	95,71428571
2020-05-31	88	94,71428571
2020-06-01	100	95,42857143
2020-06-02	109	97,14285714
2020-06-03	95	96,71428571
